Squadra,Data,Giorno_settimana,Ora,Casa,Campo,Ospite,Località,Settimana,Anno
Polisportiva Carugate,2025-10-29,Wednesday,21.00,CEM TORRICELLI,ITC VERRI 1 PIANO,POLISPORTIVA CARUGATE,MILANO - VIA LATTANZIO,44,2025
ASD Zeronove,2025-10-30,Thursday,21.15,O.F.I.,PALESTRA COMUNALE,ASD ZERONOVE,INZAGO - VIA BRAMBILLA,44,2025
Avis Cernusco,2025-10-31,Friday,21.00,AD ASTRA ASD - DRACO,SCUOLA MEDIA BUONARROTI,AVIS CERNUSCO BIANCA,MILANO - VIA SCIALOIA,44,2025
ASD Zeronove,2025-11-06,Thursday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,A.S.D. NEW VOLLEY ADDA,SEGRATE - VIA SAN ROCCO,45,2025
Avis Cernusco,2025-11-06,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,NUOVA UMPLA BRESSO,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,45,2025
Polisportiva Carugate,2025-11-07,Friday,21.00,GEAS VOLLEY ASD,SCUOLA EL. MARTIRI DELLA LIBERTA,POLISPORTIVA CARUGATE,SESTO SAN GIOVANNI - VIA FIORANI (DI FRONTE AL CIVICO 93),45,2025
ASD Zeronove,2025-11-13,Thursday,21.00,ASD ZERONOVE,PALESTRA SCUOLA MEDIA LEOPARDI,GEAS VOLLEY ASD,SEGRATE - VIA SAN ROCCO,46,2025
Avis Cernusco,2025-11-14,Friday,21.00,BOLLATE VOLLEY,PALAZZETTO DELLO SPORT CARLO GALIMBERTI,AVIS CERNUSCO BIANCA,BOLLATE - VIA VARALLI,46,2025
Polisportiva Carugate,2025-11-14,Friday,21.15,POL. SAN GIORGIO,PALESTRA COMUNALE LISCATE,POLISPORTIVA CARUGATE,LISCATE - VIA DANTE ALIGHIERI,46,2025
ASD Zeronove,2025-11-20,Thursday,21.15,A.S.D. POL. GS RODANO,PALAZZETTO COMUNALE C/O SM,ASD ZERONOVE,RODANO - VIA TURATI (LARGO 11 SETTEMBRE 2001),47,2025
Avis Cernusco,2025-11-20,Thursday,21.15,AVIS CERNUSCO BIANCA,NUOVO PALASPORT COMUNALE - SUSSIDIARIA,MARTESANA VOLLEY COLOGNO,CERNUSCO SUL NAVIGLIO - VIA BUONARROTI,47,2025
Polisportiva Carugate,2025-11-21,Friday,21.15,POLISPORTIVA CARUGATE,SCUOLA ELEMENTARE NUOVA,GONZAGA YOUNG,CARUGATE - VIA DEL GINESTRINO,47,2025
